,Capacity,Revenue
0,50,268461.7177767708
1,100,536922.7065900557
2,150,805383.6536655439
3,200,1073848.2488468778
4,250,1342306.5402950011
5,300,1610767.532275396
6,350,1879229.5025720415
7,400,2147690.014142572
8,450,2416156.209151918
9,500,2684615.3185741007
10,550,2953076.312333239
11,600,3221545.8110474003
12,650,3489709.1130004087
13,700,3756563.7661700714
14,750,4020916.546668829
15,800,4277167.624634736
16,850,4515813.765950649
17,900,4738185.265268916
18,950,4940684.589168959
19,1000,5126463.165616623
20,1050,5293229.828943452
21,1100,5445385.589451601
22,1150,5581942.564527526
23,1200,5709734.868413804
24,1250,5829395.551698833
25,1300,5934462.172079109
26,1350,6028859.944430277
27,1400,6117495.846923377
28,1450,6196782.808567184
29,1500,6269367.63066802
30,1550,6336816.179757383
31,1600,6397677.084846237
32,1650,6449063.3033328615
33,1700,6496284.171782833
34,1750,6541885.396004562
35,1800,6582727.891113387
36,1850,6619599.840258147
37,1900,6650679.353996737
38,1950,6678008.8359836005
39,2000,6704108.284383358
